"";"Species";"code";"GROUP"
"1";"Aristaeomorpha foliacea";"ARS";"Crustacean"
"2";"Aristeus antennatus";"ARA";"Crustacean"
"3";"Engraulis encrasicolus";"ANE";"Small Pelagics"
"4";"Galeus melastomus";"SHO";"Demersal Elasmobranch"
"5";"Lophius budegassa";"ANK";"Demersal Fish"
"6";"Merluccius merluccius";"HKE";"Demersal Fish"
"7";"Micromesistius poutassou";"WHB";"Demersal Fish"
"8";"Mullus barbatus";"MUT";"Demersal Fish"
"9";"Mullus surmuletus";"MUR";"Demersal Fish"
"10";"Nephrops norvegicus";"NEP";"Crustacean"
"11";"Octopus vulgaris";"OCC";"Mollusk"
"12";"Pagellus erythrinus";"PAC";"Demersal Fish"
"13";"Parapenaeus longirostris";"DPS";"Crustacean"
"14";"Sardina pilchardus";"PIL";"Small Pelagics"
"15";"Solea solea";"SOL";"Demersal Fish"
"16";"Spicara smaris";"SPC";"Demersal Fish"
"17";"Squilla mantis";"MTS";"Crustacean"
"18";"Trisopterus minutus";"POD";"Demersal Fish"
"19";"Raja clavata";"RJC";"Demersal Elasmobranch"
"20";"Raja asterias";"JRS";"Demersal Elasmobranch"
"21";"Scyliorhinus canicula";"SYC";"Demersal Elasmobranch"
"22";"Psetta maxima";"TUR";"Demersal Fish"
"23";"Sprattus sprattus";"SPR";"Small Pelagics"
"24";"Merlangius merlangus";"WHG";"Demersal Fish"
"25";"Trachurus mediterraneus";"HMM";"Small Pelagics"
"26";"Trisopterus minutus";"POD";"Demersal Fish"
"27";"Squalus acanthias";"DGS";"Demersal Elasmobranch"
"28";"Amblyraja radiata";"RJR";"Demersal Elasmobranch"
"29";"Rapana venosa";"RPW";"Mollusk"
"30";Boops boops;BPS;"Demersal Fish"
"31";Phycis blennoides;PIC;"Demersal Fish"
"32";Spicara flexuosa;SPF;"Small Pelagics"
